sampling_date|Location|Rainfall|TSS|Flow|ops_activity
2021-01-01|Outlet_C|6.0|26.4|105|Maintenance
2021-01-02|Outlet_A|2.6|31.7|107|Normal Operation
2021-01-03|Outlet_C|7.2|48.5|119|Normal Operation
2021-01-04|Outlet_C|17.9|86.5|213|Normal Operation
2021-01-05|Outlet_A|20.0|113.0|106|Normal Operation
2021-01-06|Outlet_A|7.0|41.2|117|Normal Operation
2021-01-07|Outlet_C|2.9|98.9|164|Construction
2021-01-08|Outlet_B|2.7|18.1|143|Normal Operation
2021-01-09|Outlet_C|15.6|156.0|109|Construction
2021-01-10|Outlet_C|7.1|50.7|178|Normal Operation
2021-01-11|Outlet_C|8.8|101.0|210|Construction
2021-01-12|Outlet_C|6.9|33.3|91|Normal Operation
2021-01-13|Outlet_A|12.0|169.6|170|Construction
2021-01-14|Outlet_C|8.1|72.9|109|Normal Operation
2021-01-15|Outlet_B|13.8|122.1|117|Maintenance
2021-01-16|Outlet_A|13.9|136.3|164|Construction
2021-01-17|Outlet_B|3.6|52.2|139|Normal Operation
2021-01-18|Outlet_B|10.6|88.9|117|Normal Operation
2021-01-19|Outlet_B|19.3|79.6|183|Normal Operation
2021-01-20|Outlet_B|11.9|206.2|108|Construction
2021-01-21|Outlet_A|11.0|94.9|191|Normal Operation
2021-01-22|Outlet_A|4.3|68.1|100|Normal Operation
2021-01-23|Outlet_B|4.4|43.4|198|Normal Operation
2021-01-24|Outlet_B|8.2|44.9|139|Normal Operation
2021-01-25|Outlet_A|4.9|41.5|219|Maintenance
2021-01-26|Outlet_A|16.6|130.0|192|Normal Operation
2021-01-27|Outlet_A|7.3|62.2|208|Normal Operation
2021-01-28|Outlet_C|4.6|149.5|137|Construction
2021-01-29|Outlet_C|16.8|122.5|82|Normal Operation
2021-01-30|Outlet_C|3.1|39.8|102|Normal Operation
2021-01-31|Outlet_B|8.2|38.8|216|Normal Operation
2021-02-01|Outlet_C|5.2|39.8|162|Normal Operation
2021-02-02|Outlet_B|35.4|259.3|134|Normal Operation
2021-02-03|Outlet_B|8.2|39.2|189|Maintenance
2021-02-04|Outlet_C|3.9|41.2|195|Normal Operation
2021-02-05|Outlet_B|8.6|31.4|141|Normal Operation
2021-02-06|Outlet_C|7.2|54.4|166|Normal Operation
2021-02-07|Outlet_C|4.4|49.0|179|Normal Operation
2021-02-08|Outlet_A|16.5|122.5|106|Maintenance
2021-02-09|Outlet_C|13.0|83.0|113|Normal Operation
2021-02-10|Outlet_A|10.2|143.3|112|Normal Operation
2021-02-11|Outlet_C|4.2|50.5|171|Normal Operation
2021-02-12|Outlet_C|26.4|241.2|175|Normal Operation
2021-02-13|Outlet_A|10.9|126.8|174|Normal Operation
2021-02-14|Outlet_A|5.1|70.9|117|Normal Operation
2021-02-15|Outlet_C|17.5|124.3|120|Normal Operation
2021-02-16|Outlet_B|9.1|44.1|216|Maintenance
2021-02-17|Outlet_A|16.1|91.8|216|Normal Operation
2021-02-18|Outlet_B|11.2|162.3|158|Construction
2021-02-19|Outlet_B|31.9|241.2|207|Construction
2021-02-20|Outlet_B|3.3|65.7|101|Normal Operation
2021-02-21|Outlet_A|5.4|61.4|95|Normal Operation
2021-02-22|Outlet_B|45.9|246.1|111|Normal Operation
2021-02-23|Outlet_A|7.7|41.2|117|Normal Operation
2021-02-24|Outlet_B|3.0|43.0|177|Maintenance
2021-02-25|Outlet_C|12.5|116.6|215|Normal Operation
2021-02-26|Outlet_C|17.5|133.7|100|Normal Operation
2021-02-27|Outlet_A|7.6|66.4|135|Normal Operation
2021-02-28|Outlet_C|1.2|66.3|125|Normal Operation
2021-03-01|Outlet_C|3.8|74.1|122|Normal Operation
2021-03-02|Outlet_B|1.8|56.3|199|Maintenance
2021-03-03|Outlet_A|29.1|275.8|125|Normal Operation
2021-03-04|Outlet_B|1.6|47.0|127|Maintenance
2021-03-05|Outlet_B|5.2|23.5|163|Normal Operation
2021-03-06|Outlet_B|12.3|127.0|110|Normal Operation
2021-03-07|Outlet_B|2.6|22.9|150|Normal Operation
2021-03-08|Outlet_B|11.2|98.7|87|Normal Operation
2021-03-09|Outlet_B|4.6|64.3|209|Normal Operation
2021-03-10|Outlet_B|10.6|98.6|131|Maintenance
2021-03-11|Outlet_A|6.6|116.7|124|Construction
2021-03-12|Outlet_C|7.4|20.5|116|Normal Operation
2021-03-13|Outlet_B|17.2|111.6|123|Normal Operation
2021-03-14|Outlet_B|2.9|50.3|196|Normal Operation
2021-03-15|Outlet_B|10.6|156.0|117|Construction
2021-03-16|Outlet_B|14.7|117.3|178|Normal Operation
2021-03-17|Outlet_B|2.6|69.9|203|Construction
2021-03-18|Outlet_B|1.8|33.5|85|Normal Operation
2021-03-19|Outlet_C|6.7|48.4|147|Normal Operation
2021-03-20|Outlet_C|10.1|137.9|180|Construction
2021-03-21|Outlet_B|13.3|127.6|213|Normal Operation
2021-03-22|Outlet_C|2.2|59.7|92|Normal Operation
2021-03-23|Outlet_A|15.1|107.4|109|Normal Operation
2021-03-24|Outlet_B|19.0|91.9|179|Normal Operation
2021-03-25|Outlet_A|10.9|150.9|81|Normal Operation
2021-03-26|Outlet_A|19.8|153.8|137|Normal Operation
2021-03-27|Outlet_B|6.4|56.7|115|Maintenance
2021-03-28|Outlet_C|5.3|77.9|151|Normal Operation
2021-03-29|Outlet_A|7.5|103.8|216|Construction
2021-03-30|Outlet_B|3.3|75.8|205|Normal Operation
2021-03-31|Outlet_A|5.1|12.6|156|Normal Operation
2021-04-01|Outlet_A|8.4|51.5|129|Normal Operation
2021-04-02|Outlet_A|9.3|45.1|111|Normal Operation
2021-04-03|Outlet_A|11.6|112.5|177|Normal Operation
2021-04-04|Outlet_C|0.8|85.7|122|Construction
2021-04-05|Outlet_A|45.3|255.0|204|Normal Operation
2021-04-06|Outlet_A|3.6|22.9|174|Normal Operation
2021-04-07|Outlet_A|13.2|126.7|157|Normal Operation
2021-04-08|Outlet_C|10.2|86.1|133|Maintenance
2021-04-09|Outlet_A|4.8|109.4|126|Construction
2021-04-10|Outlet_A|12.4|120.4|93|Normal Operation
2021-04-11|Outlet_C|3.7|51.2|134|Normal Operation
2021-04-12|Outlet_C|8.1|65.8|142|Normal Operation
2021-04-13|Outlet_C|29.1|181.7|98|Normal Operation
2021-04-14|Outlet_A|5.8|48.8|170|Normal Operation
2021-04-15|Outlet_C|8.8|63.3|216|Normal Operation
2021-04-16|Outlet_C|3.1|55.4|180|Normal Operation
2021-04-17|Outlet_A|13.4|118.9|116|Normal Operation
2021-04-18|Outlet_C|4.3|66.6|186|Normal Operation
2021-04-19|Outlet_A|10.4|160.9|171|Construction
2021-04-20|Outlet_B|16.7|145.2|131|Construction
2021-04-21|Outlet_C|6.8|58.6|107|Normal Operation
2021-04-22|Outlet_B|12.5|88.9|115|Normal Operation
2021-04-23|Outlet_A|10.8|153.2|195|Normal Operation
2021-04-24|Outlet_C|17.1|105.8|143|Normal Operation
2021-04-25|Outlet_A|12.6|83.3|97|Maintenance
2021-04-26|Outlet_B|19.7|134.3|168|Normal Operation
2021-04-27|Outlet_A|6.8|105.2|157|Construction
2021-04-28|Outlet_C|2.5|134.9|169|Construction
2021-04-29|Outlet_C|1.6|29.0|87|Normal Operation
2021-04-30|Outlet_B|1.8|68.3|94|Normal Operation
2021-05-01|Outlet_A|6.5|54.8|86|Normal Operation
2021-05-02|Outlet_C|9.5|47.5|96|Normal Operation
2021-05-03|Outlet_B|4.6|61.5|165|Normal Operation
2021-05-04|Outlet_C|4.7|57.7|197|Normal Operation
2021-05-05|Outlet_C|5.7|124.6|143|Construction
2021-05-06|Outlet_A|8.2|69.8|91|Normal Operation
2021-05-07|Outlet_C|21.6|107.6|135|Normal Operation
2021-05-08|Outlet_A|1.2|36.9|180|Normal Operation
2021-05-09|Outlet_C|13.5|126.1|95|Normal Operation
2021-05-10|Outlet_B|12.6|130.9|81|Normal Operation
2021-05-11|Outlet_C|6.8|108.5|207|Construction
2021-05-12|Outlet_A|11.1|137.4|171|Normal Operation
2021-05-13|Outlet_A|7.2|44.4|184|Normal Operation
2021-05-14|Outlet_B|12.4|124.0|110|Normal Operation
2021-05-15|Outlet_C|3.9|48.4|126|Normal Operation
2021-05-16|Outlet_C|3.5|40.5|122|Maintenance
2021-05-17|Outlet_B|1.1|61.6|144|Normal Operation
2021-05-18|Outlet_C|11.2|148.1|129|Maintenance
2021-05-19|Outlet_C|5.0|29.2|80|Normal Operation
2021-05-20|Outlet_A|1.7|65.6|201|Normal Operation
2021-05-21|Outlet_C|3.5|38.8|107|Normal Operation
2021-05-22|Outlet_C|12.4|142.3|165|Normal Operation
2021-05-23|Outlet_B|9.4|49.0|161|Normal Operation
2021-05-24|Outlet_B|3.6|53.5|101|Maintenance
2021-05-25|Outlet_A|21.0|98.4|120|Normal Operation
2021-05-26|Outlet_C|7.9|45.0|155|Normal Operation
2021-05-27|Outlet_C|11.8|163.2|168|Normal Operation
2021-05-28|Outlet_C|9.3|69.0|138|Normal Operation
2021-05-29|Outlet_A|6.6|35.1|148|Normal Operation
2021-05-30|Outlet_A|11.2|147.1|202|Normal Operation
2021-05-31|Outlet_B|18.2|90.0|153|Normal Operation
2021-06-01|Outlet_A|6.5|44.4|86|Normal Operation
2021-06-02|Outlet_C|14.1|111.7|180|Normal Operation
2021-06-03|Outlet_C|4.6|51.6|190|Normal Operation
2021-06-04|Outlet_A|26.5|192.2|131|Normal Operation
2021-06-05|Outlet_C|4.0|54.0|103|Normal Operation
2021-06-06|Outlet_C|32.5|274.2|105|Construction
2021-06-07|Outlet_A|2.6|64.5|204|Normal Operation
2021-06-08|Outlet_A|6.3|38.0|169|Normal Operation
2021-06-09|Outlet_C|11.6|112.0|201|Normal Operation
2021-06-10|Outlet_C|19.0|124.8|89|Normal Operation
2021-06-11|Outlet_C|23.8|133.7|96|Maintenance
2021-06-12|Outlet_B|21.8|135.3|81|Normal Operation
2021-06-13|Outlet_B|11.3|119.4|191|Construction
2021-06-14|Outlet_B|4.3|92.6|106|Construction
2021-06-15|Outlet_A|16.4|108.0|150|Normal Operation
2021-06-16|Outlet_B|17.7|93.2|197|Normal Operation
2021-06-17|Outlet_A|10.4|147.6|88|Normal Operation
2021-06-18|Outlet_A|5.3|59.0|165|Normal Operation
2021-06-19|Outlet_B|3.1|19.6|102|Normal Operation
2021-06-20|Outlet_B|4.5|53.0|152|Normal Operation
2021-06-21|Outlet_B|4.3|45.2|106|Normal Operation
