Employee_ID,Gender,Department,Education_Level,Job_Level,Age,Years_Experience,Training_Hours,Monthly_Salary,Performance_Score,Attendance_Rate,Project_Completed,Promotion_Last_3Y
1,female,Operations,Master,Junior,15,7,25.6,10702825.0,99.5,98.0,6,1
2,Female,Hr,Bachelor,Officer,70,12,10.2,15735781.0,76.6,85.5,2,0
3,MALE,Risk,Bachelor,Junior,32,18,33.2,-5000000.0,86.0,91.6,5,0
4,Female,IT,Bachelor,Manager,27,2,13.8,21446446.0,120.0,85.7,3,0
5,Female,Finance,Bachelor,Junior,16,14,104.1,10685352.0,73.2,130.0,2,1
6,Female,Operations,PhD,Senior Manager,41,9,16.0,4095998.0,83.1,90.9,5,1
7,MALE,Hr,Bachelor,Officer,29,8,16.7,6268244.0,79.2,92.8,5,0
8,MALE,IT,Bachelor,Manager,27,7,22.3,12047713.0,87.1,95.4,3,1
9,MALE,Hr,Master,Supervisor,35,1,4.8,16111528.0,71.4,106.8,4,0
10,Female,Compliance,Bachelor,Supervisor,38,12,32.8,9389963.0,58.8,94.3,2,0
11,female,Operations,Bachelor,Supervisor,31,4,6.8,11076270.0,90.3,91.8,9,0
12,MALE,IT,Bachelor,Officer,33,2,44.2,,67.7,86.8,13,1
13,Female,Marketing,Bachelor,Officer,39,12,17.8,8139070.0,83.6,100.3,4,0
14,Female,Marketing,Bachelor,Officer,31,11,29.4,9554922.0,83.0,92.1,3,0
15,female,IT,Bachelor,Supervisor,36,8,24.8,7329093.0,59.7,101.3,9,1
16,Female,Hr,Master,Junior,20,13,54.3,16712912.0,89.5,98.5,2,1
17,female,Operations,Bachelor,Officer,24,15,1.9,18166691.0,71.8,90.7,4,0
18,Female,Marketing,Bachelor,Supervisor,38,14,11.1,5682340.0,78.6,86.0,7,0
19,Male,XDept,Bachelor,Supervisor,23,5,25.2,11431258.0,74.1,94.4,3,1
20,female,Marketing,Bachelor,Supervisor,35,13,4.4,17629036.0,95.8,89.9,4,1
21,Female,Compliance,Master,Supervisor,32,9,43.2,13594781.0,92.8,93.2,7,0
22,M,Hr,Bachelor,Senior Manager,31,16,26.3,10043043.0,58.1,98.2,3,1
23,female,Compliance,Bachelor,Officer,27,7,13.2,,102.8,84.7,8,1
24,Male,Marketing,Master,Officer,41,6,21.0,16611778.0,70.5,94.3,6,1
25,Male,Compliance,Bachelor,Officer,47,4,10.9,13442061.0,101.1,96.8,6,1
26,MALE,Marketing,Bachelor,Officer,36,8,1.7,6108054.0,75.2,97.0,8,0
27,MALE,IT,Bachelor,Manager,36,10,12.4,16759564.0,74.2,86.2,3,0
28,Female,Compliance,Bachelor,Junior,28,10,2.4,5598386.0,75.3,95.1,6,0
29,female,HR,S1,Supervisor,24,9,14.0,11118055.0,73.6,99.0,5,0
30,female,Hr,Diploma,Officer,33,11,18.0,10941541.0,105.8,94.7,8,1
31,MALE,Finance,Bachelor,Supervisor,26,6,35.7,18473525.0,77.2,92.4,10,1
32,female,Risk,Diploma,Supervisor,19,3,1.7,10955815.0,74.7,98.7,2,0
33,female,Compliance,Master,Officer,40,3,24.8,10941429.0,78.8,89.5,4,0
34,Male,finance,Bachelor,Officer,40,12,35.7,6547687.0,67.4,85.4,6,0
35,MALE,,Master,Officer,27,10,53.3,9438409.0,95.6,92.0,4,0
36,Female,HR,Bachelor,Junior,35,-1,7.6,8730818.0,61.8,95.7,6,0
37,MALE,HR,Master,Officer,42,13,,8939111.0,71.2,98.2,4,0
38,Female,Marketing,PhD,Junior,35,17,37.4,12025138.0,88.3,95.7,7,0
39,Male,Marketing,Master,Officer,24,4,8.4,2263294.0,78.5,97.2,5,0
40,Female,Risk,Master,Supervisor,32,9,44.5,,84.0,98.2,1,0
41,female,IT,Bachelor,Supervisor,44,5,11.0,11555925.0,94.9,91.3,4,1
42,Male,finance,Bachelor,Supervisor,35,11,44.2,12485019.0,89.0,92.3,12,0
43,female,Finance,Bachelor,Junior,38,2,10.8,11066269.0,79.5,99.4,10,0
44,Female,Risk,Bachelor,Supervisor,36,7,65.4,11836822.0,101.0,86.9,4,0
45,Female,Operations,Bachelor,Officer,27,12,41.7,10363534.0,71.1,95.1,3,0
46,Male,Finance,Bachelor,Officer,29,14,16.1,11925982.0,76.9,89.4,6,1
47,Female,Compliance,Bachelor,Manager,36,10,56.1,13736569.0,77.7,98.5,6,0
48,Female,Hr,Bachelor,Junior,40,6,16.8,13708535.0,76.9,92.9,5,1
49,Female,Operations,Master,Supervisor,42,0,22.3,9244166.0,66.2,93.0,2,0
50,female,Operations,Bachelor,Supervisor,27,4,35.1,15660379.0,60.6,101.6,9,0
51,female,Risk,Master,Officer,37,5,27.7,12628435.0,82.6,87.6,6,0
52,female,IT,Master,Junior,43,4,33.8,16928856.0,71.0,94.1,4,0
53,female,Risk,PhD,Junior,26,8,21.2,17731490.0,99.0,92.1,6,0
54,Female,Compliance,Bachelor,Manager,45,6,13.5,6229093.0,77.2,95.7,8,1
55,MALE,IT,Master,Officer,47,8,21.8,8563890.0,75.2,102.6,2,0
56,Male,Compliance,PhD,Officer,55,14,31.5,15254192.0,90.0,90.0,2,0
57,female,IT,Master,Officer,35,5,34.7,5340430.0,82.4,87.0,6,1
58,Female,HR,Diploma,Supervisor,35,1,13.5,,76.1,89.0,6,1
59,female,Operations,Bachelor,Junior,40,4,,10624471.0,71.0,91.8,4,0
60,Female,finance,Bachelor,Officer,40,10,34.1,14300132.0,118.2,93.3,9,0
61,Female,Hr,Diploma,Supervisor,43,11,98.2,11534437.0,82.0,93.6,3,0
62,female,Compliance,Bachelor,Manager,40,10,12.8,,89.9,102.0,5,0
63,Female,Finance,Master,Officer,33,14,16.5,16222178.0,66.7,101.1,8,1
64,Female,IT,Master,Officer,43,7,4.7,23002892.0,71.6,99.5,5,0
65,Female,Hr,Diploma,Officer,25,18,15.6,9939967.0,101.2,105.6,5,0
66,female,Finance,Master,Supervisor,34,12,21.8,10710566.0,93.4,97.1,7,1
67,Female,Hr,Bachelor,Officer,46,-4,17.1,1403602.0,83.0,98.5,4,1
68,Female,finance,Master,Officer,23,17,8.7,17406012.0,73.8,97.0,6,0
69,female,Finance,Master,Supervisor,28,4,15.5,15647061.0,75.4,96.2,5,1
70,female,Risk,Bachelor,Supervisor,39,2,7.7,5066465.0,70.6,95.0,6,0
71,Male,Unknown,Bachelor,Officer,37,10,43.4,3740458.0,65.3,91.0,5,0
72,Female,Risk,Master,Manager,26,0,25.4,4203075.0,88.2,86.8,5,1
73,Female,Marketing,Bachelor,Supervisor,30,4,,14580677.0,83.9,92.3,4,0
74,Female,Risk,Diploma,Officer,24,15,12.1,14979966.0,86.1,95.8,4,0
75,Female,Marketing,Master,Junior,41,10,34.3,8306664.0,74.3,93.4,5,0
76,Female,Marketing,Bachelor,Senior Manager,31,12,3.1,13997040.0,80.8,87.7,3,0
77,Male,Operations,Master,Junior,48,4,52.9,12635508.0,73.2,92.2,5,0
78,female,IT,Bachelor,Junior,34,0,40.6,10530921.0,70.0,91.9,7,0
79,female,IT,Master,Junior,32,11,5.9,15880787.0,96.3,92.7,3,0
80,female,Operations,Bachelor,Supervisor,31,12,26.9,7180258.0,79.3,95.5,0,0
81,Female,Hr,PhD,Junior,32,12,7.4,16590157.0,83.6,96.5,5,0
82,Male,HR,Master,Junior,34,9,5.8,9085914.0,87.2,90.5,4,1
83,Female,Hr,Diploma,Junior,54,3,3.3,19126147.0,79.5,97.9,1,0
84,Female,Finance,Bachelor,Junior,31,20,5.1,7978776.0,80.6,98.7,5,0
85,Male,Finance,PhD,Supervisor,31,10,57.8,10593712.0,66.0,94.6,5,0
86,Male,Marketing,Bachelor,Supervisor,34,7,,12234349.0,68.1,96.3,3,0
87,Male,Risk,Bachelor,Officer,42,7,20.2,12209274.0,67.6,97.9,1,1
88,Male,Risk,Bachelor,Officer,22,8,8.3,,84.7,87.5,5,0
89,female,IT,Bachelor,Supervisor,37,13,44.6,6857270.0,78.8,98.3,11,0
90,MALE,Compliance,Master,Junior,27,8,33.9,11850750.0,68.1,89.0,5,0
91,MALE,Hr,Bachelor,Officer,38,12,,12552527.0,84.4,89.5,5,0
92,Male,finance,Bachelor,Senior Manager,30,8,22.1,9889047.0,84.0,94.0,7,0
93,MALE,Risk,Bachelor,Supervisor,15,7,47.3,13616234.0,70.4,82.3,4,1
94,MALE,finance,Bachelor,Officer,36,11,1.7,6614520.0,77.7,93.9,1,0
95,Male,Marketing,Bachelor,Officer,36,11,47.8,,84.0,97.9,5,0
96,MALE,finance,Diploma,Officer,29,7,,8987264.0,68.6,84.8,7,0
97,Female,Operations,Master,Officer,28,4,,10706276.0,84.2,98.4,3,0
98,Female,finance,Bachelor,Junior,23,9,3.7,17788142.0,81.3,89.5,3,0
99,Female,HR,Bachelor,Junior,40,8,31.2,17865823.0,67.0,94.0,9,0
100,Male,Marketing,Master,Junior,41,5,5.0,17081666.0,80.4,90.2,1,0
101,female,Hr,Bachelor,Manager,26,3,25.9,10150971.0,82.0,95.9,6,0
102,Male,Operations,Master,Supervisor,29,10,24.5,15630473.0,71.1,98.1,6,0
103,female,Risk,Bachelor,Junior,33,10,26.8,12449449.0,72.0,96.2,5,0
104,Female,Finance,Diploma,Junior,52,6,27.4,12182359.0,66.9,93.0,4,0
105,Male,Hr,Bachelor,Supervisor,38,5,14.3,11690555.0,73.1,90.6,7,0
106,Female,Finance,Bachelor,Junior,26,3,3.9,19033671.0,77.9,92.7,7,1
107,MALE,Marketing,Master,Junior,36,9,32.8,17463354.0,72.0,96.3,6,1
108,female,,Diploma,Senior Manager,22,3,21.7,14979586.0,61.7,96.5,5,0
109,MALE,IT,Diploma,Officer,39,19,,11318796.0,70.4,95.8,3,0
110,MALE,Risk,Bachelor,Supervisor,47,5,,12158243.0,73.4,86.6,5,0
111,Male,HR,Bachelor,Senior Manager,47,-4,9.4,14122266.0,87.0,92.9,3,0
112,MALE,IT,Master,Officer,39,7,20.5,9913564.0,84.5,89.8,1,1
113,Female,Marketing,Bachelor,Junior,29,7,72.5,15753263.0,87.2,96.3,2,0
114,MALE,Hr,Bachelor,Junior,23,13,5.6,8315020.0,69.9,89.2,6,1
115,M,HR,Bachelor,Manager,22,9,13.1,13567375.0,79.6,95.3,4,0
116,Female,finance,Bachelor,Manager,11,3,35.3,2841138.0,51.3,91.6,9,0
117,Female,,Master,Supervisor,39,6,,9797526.0,82.7,83.6,4,0
118,MALE,Marketing,Bachelor,Junior,33,9,35.6,20310709.0,84.7,97.7,6,1
119,Male,Compliance,Master,Supervisor,41,-2,,16144766.0,74.1,92.9,8,0
120,Female,finance,Bachelor,Manager,45,14,3.7,18141874.0,81.2,99.4,5,0
121,Female,,Bachelor,Supervisor,34,3,40.8,9330769.0,61.3,84.7,3,0
122,female,Risk,PhD,Manager,35,15,29.3,12415091.0,69.2,91.5,4,1
123,Female,Unknown,Bachelor,Manager,30,9,48.4,17127969.0,86.4,91.9,3,0
124,MALE,HR,Diploma,Supervisor,31,11,,14532380.0,83.6,94.4,6,0
125,Male,Finance,Master,Supervisor,39,13,41.8,,73.5,86.4,6,0
126,female,Marketing,Diploma,Officer,32,10,3.8,18522328.0,86.9,95.7,9,1
127,Female,Hr,Master,Junior,31,11,13.1,7838180.0,79.5,102.6,5,1
128,female,Risk,Bachelor,Supervisor,33,7,16.8,11263048.0,72.5,95.4,5,0
129,Female,Finance,Master,Officer,41,9,27.7,4983658.0,76.0,93.5,3,0
130,Female,,Master,Manager,28,5,32.0,7619576.0,73.0,86.1,8,0
131,MALE,HR,Bachelor,Senior Manager,33,6,12.5,16296742.0,65.0,89.1,6,0
132,Female,Hr,Master,Supervisor,35,17,10.8,8330603.0,91.8,92.7,5,0
